level	kind	chapter_num	section	title	page_a_print	page_a_print_end	page_a_pdf	page_b	page_b_end
3	section	4	4.5	4.5 Determination of Protein and Biomolecular Structures	136	142	172	581	598
4	subheading	4	4.5	X-ray Diffraction Produces Electron Density Maps from Protein Crystals	136	137	172	585	588
4	subheading	4	4.5	Distances between Protein Atoms Can Be Measured by Nuclear Magnetic Resonance	137	137	173	589	591
4	subheading	4	4.5	Thousands of Individual Molecules Are Used to Determine Structures by Cryo-Electron Microscopy	138	142	174	592	598
3	subheading	4	4.5	Chapter Review	142	146	178	599	614
4	subheading	4	4.5	Key Terms	142	142	178	599	599
4	subheading	4	4.5	Problems	142	146	178	600	614
2	chapter	5		Chapter 5 Protein Function	147	176	183	615	726
3	section	5	5.1	5.1 Reversible Binding of a Protein to a Ligand: Oxygen-Binding Proteins	148	164	184	619	680
4	subheading	5	5.1	Oxygen Can Bind to a Heme Prosthetic Group	148	148	184	619	622
4	subheading	5	5.1	Globins Are a Family of Oxygen-Binding Proteins	149	149	185	623	624
4	subheading	5	5.1	Myoglobin Has a Single Binding Site for Oxygen	149	149	185	625	625
4	subheading	5	5.1	Protein-Ligand Interactions Can Be Described Quantitatively	149	152	185	626	636
4	subheading	5	5.1	Protein Structure Affects How Ligands Bind	152	152	188	637	640
4	subheading	5	5.1	Hemoglobin Transports Oxygen in Blood	153	153	189	641	641
4	subheading	5	5.1	Hemoglobin Subunits Are Structurally Similar to Myoglobin	153	154	189	642	645
4	subheading	5	5.1	Hemoglobin Undergoes a Structural Change on Binding Oxygen	154	155	190	646	648
4	subheading	5	5.1	Hemoglobin Binds Oxygen Cooperatively	156	158	192	649	657
4	subheading	5	5.1	Cooperative Ligand Binding Can Be Described Quantitatively	158	158	194	658	660
4	subheading	5	5.1	Two Models Suggest Mechanisms for Cooperative Binding	158	160	194	661	663
4	subheading	5	5.1	Hemoglobin Also Transports H[+] and CO[2]	160	161	196	664	668
4	subheading	5	5.1	Oxygen Binding to Hemoglobin Is Regulated by 2,3-Bisphosphoglycerate	161	162	197	669	673
4	subheading	5	5.1	Sickle Cell Anemia Is a Molecular Disease of Hemoglobin	162	164	198	674	680
3	section	5	5.2	5.2 Complementary Interactions between Proteins and Ligands: The Immune System and Immunoglobulins	164	168	200	681	695
4	subheading	5	5.2	The Immune Response Includes a Specialized Array of Cells and Proteins	164	165	200	682	684
4	subheading	5	5.2	Antibodies Have Two Identical Antigen-Binding Sites	165	167	201	685	690
4	subheading	5	5.2	Antibodies Bind Tightly and Specifically to Antigen	167	167	203	691	691
4	subheading	5	5.2	The Antibody-Antigen Interaction Is the Basis for a Variety of Important Analytical Procedures	167	168	203	692	695
3	section	5	5.3	5.3 Protein Interactions Modulated by Chemical Energy: Actin, Myosin, and Molecular Motors	168	172	204	696	708
4	subheading	5	5.3	The Major Proteins of Muscle Are Myosin and Actin	169	170	205	697	700
4	subheading	5	5.3	Additional Proteins Organize the Thin and Thick Filaments into Ordered Structures	170	171	206	701	703
4	subheading	5	5.3	Myosin Thick Filaments Slide along Actin Thin Filaments	171	172	207	704	708
3	subheading	5	5.3	Chapter Review	172	176	208	709	726
4	subheading	5	5.3	Key Terms	172	172	208	709	709
4	subheading	5	5.3	Problems	173	176	209	710	726
2	chapter	6		Chapter 6 Enzymes	177	229	213	727	908
3	section	6	6.1	6.1 An Introduction to Enzymes	177	179	213	730	736
4	subheading	6	6.1	Most Enzymes Are Proteins	178	178	214	731	733
4	subheading	6	6.1	Enzymes Are Classified by the Reactions They Catalyze	178	179	214	734	736
3	section	6	6.2	6.2 How Enzymes Work	179	188	215	737	770
4	subheading	6	6.2	Enzymes Affect Reaction Rates, Not Equilibria	180	181	216	738	744
4	subheading	6	6.2	Reaction Rates and Equilibria Have Precise Thermodynamic Definitions	181	182	217	745	748
4	subheading	6	6.2	A Few Principles Explain the Catalytic Power and Specificity of Enzymes	182	182	218	749	750
4	subheading	6	6.2	Noncovalent Interactions between Enzyme and Substrate Are Optimized in the Transition State	183	186	219	751	762
4	subheading	6	6.2	Covalent Interactions and Metal Ions Contribute to Catalysis	186	188	222	763	770
3	section	6	6.3	6.3 Enzyme Kinetics as an Approach to Understanding Mechanism	188	203	224	771	822
4	subheading	6	6.3	Substrate Concentration Affects the Rate of Enzyme-Catalyzed Reactions	188	189	224	771	775
4	subheading	6	6.3	The Relationship between Substrate Concentration and Reaction Rate Can Be Expressed with the Michaelis-Menten Equation	189	190	225	776	782
4	subheading	6	6.3	Michaelis-Menten Kinetics Can Be Analyzed Quantitatively	191	191	227	783	784
4	subheading	6	6.3	Kinetic Parameters Are Used to Compare Enzyme Activities	191	193	227	785	792
4	subheading	6	6.3	Many Enzymes Catalyze Reactions with Two or More Substrates	194	195	230	793	798
4	subheading	6	6.3	Enzyme Activity Depends on pH	195	195	231	799	799
4	subheading	6	6.3	Pre–Steady State Kinetics Can Provide Evidence for Specific Reaction Steps	196	196	232	800	802
4	subheading	6	6.3	Enzymes Are Subject to Reversible or Irreversible Inhibition	196	203	232	803	822
3	section	6	6.4	6.4 Examples of Enzymatic Reactions	203	213	239	823	852
4	subheading	6	6.4	The Chymotrypsin Mechanism Involves Acylation and Deacylation of a Ser Residue	203	205	239	824	835
4	subheading	6	6.4	An Understanding of Protease Mechanisms Leads to New Treatments for HIV Infection	206	208	242	836	839
4	subheading	6	6.4	Hexokinase Undergoes Induced Fit on Substrate Binding	209	210	245	840	843
4	subheading	6	6.4	The Enolase Reaction Mechanism Requires Metal Ions	210	211	246	844	845
4	subheading	6	6.4	An Understanding of Enzyme Mechanism Produces Useful Antibiotics	211	213	247	846	852
3	section	6	6.5	6.5 Regulatory Enzymes	213	223	249	853	886
4	subheading	6	6.5	Allosteric Enzymes Undergo Conformational Changes in Response to Modulator Binding	213	214	249	854	857
4	subheading	6	6.5	The Kinetic Properties of Allosteric Enzymes Diverge from Michaelis-Menten Behavior	214	216	250	858	861
4	subheading	6	6.5	Some Enzymes Are Regulated by Reversible Covalent Modification	216	217	252	862	864
4	subheading	6	6.5	Phosphoryl Groups Affect the Structure and Catalytic Activity of Enzymes	217	218	253	865	869
4	subheading	6	6.5	Multiple Phosphorylations Allow Exquisite Regulatory Control	218	219	254	870	873
4	subheading	6	6.5	Some Enzymes and Other Proteins Are Regulated by Proteolytic Cleavage of an Enzyme Precursor	220	220	256	874	875
4	subheading	6	6.5	A Cascade of Proteolytically Activated Zymogens Leads to Blood Coagulation	220	223	256	876	884
4	subheading	6	6.5	Some Regulatory Enzymes Use Several Regulatory Mechanisms	223	223	259	885	886
3	subheading	6	6.5	Chapter Review	224	229	260	887	908
4	subheading	6	6.5	Key Terms	224	224	260	887	888
4	subheading	6	6.5	Problems	224	229	260	889	908
2	chapter	7		Chapter 7 Carbohydrates and Glycobiology	229	262	265	909	1024
3	section	7	7.1	7.1 Monosaccharides and Disaccharides	230	241	266	913	951
4	subheading	7	7.1	The Two Families of Monosaccharides Are Aldoses and Ketoses	230	231	266	914	917
4	subheading	7	7.1	Monosaccharides Have Asymmetric Centers	231	232	267	918	923
4	subheading	7	7.1	The Common Monosaccharides Have Cyclic Structures	233	234	269	924	933
4	subheading	7	7.1	Organisms Contain a Variety of Hexose Derivatives	235	236	271	934	936
4	subheading	7	7.1	Sugars That Are, or Can Form, Aldehydes Are Reducing Sugars	236	241	272	937	951
3	section	7	7.2	7.2 Polysaccharides	241	246	277	952	968
4	subheading	7	7.2	Some Homopolysaccharides Are Storage Forms of Fuel	242	242	278	954	955
4	subheading	7	7.2	Some Homopolysaccharides Serve Structural Roles	242	242	278	956	956
